iter	Passed	Remaining
0	0	59
1	1	64
2	2	79
3	3	75
4	3	75
5	4	74
6	5	74
7	6	72
8	6	70
9	7	67
10	8	68
11	9	68
12	10	67
13	10	65
14	11	64
15	12	63
16	12	62
17	13	61
18	14	60
19	14	59
20	15	58
21	16	57
22	16	56
23	17	55
24	18	54
25	18	53
26	19	52
27	20	52
28	21	51
29	21	51
30	22	50
31	23	48
32	23	48
33	24	47
34	25	46
35	25	45
36	26	44
37	27	44
38	27	43
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	30	37
45	31	36
46	31	35
47	32	34
48	32	33
49	33	33
50	33	32
51	34	31
52	34	31
53	35	30
54	35	29
55	36	28
56	37	27
57	37	27
58	38	26
59	38	25
60	39	25
61	39	24
62	40	23
63	40	22
64	41	22
65	41	21
66	42	20
67	42	20
68	43	19
69	43	18
70	44	18
71	44	17
72	45	16
73	45	16
74	46	15
75	46	14
76	47	14
77	47	13
78	48	12
79	48	12
80	49	11
81	49	10
82	50	10
83	50	9
84	51	9
85	51	8
86	52	7
87	52	7
88	53	6
89	53	5
90	54	5
91	54	4
92	55	4
93	56	3
94	56	2
95	57	2
96	57	1
97	58	1
98	58	0
99	59	0
