iter	Passed	Remaining
0	149	148982
1	150	75340
2	151	50449
3	153	38232
4	155	31039
5	157	26109
6	158	22542
7	160	19921
8	162	17842
9	166	16509
10	168	15166
11	169	13988
12	171	13005
13	173	12214
14	175	11504
15	176	10844
16	177	10262
17	178	9757
18	180	9311
19	181	8892
20	182	8508
21	183	8169
22	185	7877
23	186	7586
24	187	7321
25	188	7072
26	190	6854
27	191	6641
28	192	6437
29	193	6251
30	194	6068
31	195	5901
32	196	5749
33	197	5599
34	197	5453
35	198	5318
36	199	5189
37	200	5075
38	201	4967
39	202	4863
40	203	4757
41	204	4657
42	204	4559
43	205	4468
44	206	4390
45	207	4310
46	208	4234
47	209	4156
48	210	4080
49	210	4007
50	211	3939
51	212	3875
52	213	3811
53	213	3747
54	214	3687
55	215	3629
56	215	3573
57	216	3517
58	217	3463
59	217	3414
60	218	3368
61	219	3322
62	220	3275
63	220	3231
64	221	3193
65	222	3149
66	223	3106
67	223	3066
68	224	3029
69	225	2993
70	226	2957
71	226	2924
72	227	2890
73	228	2857
74	228	2823
75	229	2790
76	230	2761
77	231	2732
78	231	2704
79	232	2676
80	233	2648
81	234	2620
82	234	2590
83	235	2564
84	235	2538
85	236	2514
86	237	2491
87	238	2467
88	238	2444
89	239	2420
90	240	2398
91	240	2376
92	241	2354
93	242	2334
94	242	2314
95	243	2294
96	244	2274
97	244	2254
98	245	2234
99	246	2214
100	246	2195
101	247	2176
102	248	2159
103	248	2143
104	249	2127
105	250	2110
106	250	2093
107	251	2077
108	252	2060
109	252	2045
110	253	2029
111	254	2015
112	255	2001
113	255	1987
114	256	1973
115	256	1958
116	257	1942
117	257	1927
118	258	1913
119	259	1900
120	259	1886
121	260	1873
122	261	1861
123	261	1849
124	262	1836
125	262	1823
126	263	1810
127	263	1797
128	264	1785
129	264	1772
130	265	1760
131	266	1749
132	266	1738
133	267	1727
134	268	1717
135	268	1706
136	269	1695
137	269	1685
138	270	1674
139	270	1664
140	271	1653
141	271	1642
142	272	1631
143	272	1622
144	273	1613
145	274	1604
146	274	1594
147	275	1584
148	275	1574
149	276	1565
150	276	1557
151	277	1547
152	277	1538
153	278	1529
154	279	1521
155	279	1513
156	280	1505
157	280	1496
158	281	1488
159	281	1479
160	282	1470
161	282	1462
162	283	1454
163	283	1446
164	284	1438
165	284	1430
166	285	1422
167	285	1415
168	286	1408
169	287	1401
170	287	1394
171	288	1387
172	288	1380
173	289	1373
174	289	1365
175	290	1358
176	290	1351
177	291	1345
178	291	1338
179	292	1332
180	293	1326
181	293	1320
182	294	1313
183	294	1306
184	295	1300
185	295	1293
186	296	1287
187	296	1281
188	297	1275
189	297	1269
190	298	1263
191	298	1257
192	299	1251
193	299	1245
194	300	1240
195	300	1234
196	301	1228
197	301	1222
198	302	1216
199	302	1211
200	303	1206
201	304	1202
202	305	1198
203	305	1193
204	306	1187
205	306	1182
206	307	1177
207	307	1171
208	308	1166
209	308	1161
210	309	1156
211	309	1150
212	310	1146
213	310	1141
214	311	1137
215	311	1132
216	312	1127
217	312	1122
218	313	1117
219	313	1112
220	314	1108
221	314	1103
222	315	1098
223	315	1094
224	316	1090
225	317	1086
226	317	1081
227	318	1077
228	318	1072
229	319	1068
230	319	1063
231	320	1059
232	320	1055
233	321	1051
234	321	1046
235	322	1042
236	322	1038
237	323	1035
238	323	1031
239	324	1027
240	324	1022
241	325	1018
242	325	1014
243	326	1010
244	326	1006
245	327	1002
246	327	998
247	328	995
248	328	991
249	329	988
250	329	984
251	330	980
252	330	976
253	331	972
254	331	969
255	332	965
256	332	962
257	333	958
258	333	954
259	334	951
260	334	947
261	335	944
262	335	941
263	336	938
264	336	934
265	337	931
266	338	927
267	338	924
268	338	921
269	339	917
270	339	914
